data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,2886,95,130295,129,260,663,471,394,352,262,159,97,68,1333,1522
2020-07-11,03:00 PM,2886,95,130295,129,260,663,471,394,352,262,159,97,68,1333,1522
2020-07-12,03:00 PM,2966,95,132942,134,272,685,485,408,354,269,161,98,68,1368,1566
2020-07-13,03:00 PM,3076,96,135260,138,284,720,511,426,366,275,161,98,68,1418,1629
2020-07-14,03:00 PM,3134,96,137346,140,291,740,520,429,370,281,166,99,68,1442,1662
2020-07-15,03:00 PM,3200,97,138762,142,300,752,525,440,379,283,169,100,70,1442,1465
2020-07-16,03:00 PM,3362,98,141823,147,323,795,544,460,397,299,180,106,70,1538,1783
2020-07-17,03:00 PM,3464,99,144331,153,341,827,559,472,411,302,181,106,70,1593,1829
2020-07-18,03:00 PM,3578,99,147382,163,359,860,570,486,422,304,186,108,73,1640,1891
2020-07-19,03:00 PM,3679,100,150014,165,376,891,584,502,427,309,188,110,75,1687,1940
2020-07-20,03:00 PM,3775,100,153132,171,394,909,601,511,442,316,193,110,76,1721,2002
2020-07-21,03:00 PM,3861,102,155779,177,410,926,621,522,447,321,193,110,77,1762,2042
2020-07-22,03:00 PM,3920,103,157252,182,427,939,625,531,455,322,194,110,77,1793,2069
2020-07-23,03:00 PM,4005,104,159483,185,435,963,638,546,468,329,198,111,77,1837,2113
2020-07-24,03:00 PM,4131,106,161520,188,456,997,655,564,481,336,203,114,81,1901,2174
2020-07-25,03:00 PM,4227,108,164526,195,465,1023,672,581,484,343,208,118,81,1947,2223
2020-07-26,03:00 PM,4318,110,167490,199,476,1044,688,599,494,347,210,119,82,1979,2279
2020-07-27,03:00 PM,4405,111,170612,204,482,1068,705,610,504,358,212,123,82,2015,2333
2020-07-28,03:00 PM,4466,113,173672,204,482,1068,705,610,504,358,212,123,82,2051,2358
2020-07-29,03:00 PM,4542,114,176242,207,505,1089,732,638,516,367,218,130,83,2082,2403
2020-07-30,03:00 PM,4627,117,179086,211,518,1102,751,655,528,370,224,132,82,2116,2457
2020-07-31,03:00 PM,4688,117,181782,212,522,1115,761,663,537,377,228,134,82,2138,2493
2020-08-01,03:00 PM,4735,120,183970,213,529,1127,767,669,542,380,232,136,83,2160,2518
2020-08-02,03:00 PM,4800,123,187528,214,537,1144,778,677,550,384,234,139,84,2188,2553
2020-08-03,03:00 PM,4860,123,190282,215,548,1156,791,681,560,389,235,141,86,2218,2584
2020-08-04,03:00 PM,4879,123,191356,216,551,1161,792,687,561,390,236,141,86,2227,2594
2020-08-05,03:00 PM,4947,124,195758,222,558,1178,807,693,568,395,239,143,86,2257,2632
2020-08-06,03:00 PM,4989,128,197250,224,563,1186,809,699,577,397,243,144,87,2269,2660
2020-08-07,03:00 PM,5029,129,199033,227,569,1192,816,705,585,402,244,144,87,2289,2682
2020-08-08,03:00 PM,5059,130,201771,229,575,1195,818,714,590,404,244,144,87,2303,2697
2020-08-09,03:00 PM,5089,132,203719,235,580,1200,820,717,595,405,244,146,88,2320,2710
2020-08-10,03:00 PM,5136,134,206222,240,585,1207,828,723,604,408,248,147,89,2339,2740
