data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,30,0,3245,0,3,6,4,6,5,3,0,0,0,16,11
2020-07-11,03:00 PM,30,0,3245,0,3,6,4,6,5,3,0,0,0,16,11
2020-07-12,03:00 PM,32,0,3349,0,3,7,4,6,5,4,0,0,0,17,12
2020-07-13,03:00 PM,33,0,3390,0,3,8,4,6,5,4,0,0,0,17,13
2020-07-14,03:00 PM,35,0,3506,0,3,8,4,6,6,4,1,0,0,18,14
2020-07-15,03:00 PM,41,0,3625,0,4,8,5,8,6,6,1,0,0,18,22
2020-07-16,03:00 PM,44,0,3712,0,4,8,6,9,6,6,2,0,0,23,18
2020-07-17,03:00 PM,46,0,3747,0,4,9,6,9,6,7,2,0,0,24,19
2020-07-18,03:00 PM,47,0,3775,0,4,9,7,9,6,7,2,0,0,25,19
2020-07-19,03:00 PM,47,0,3820,0,4,9,7,9,6,7,2,0,0,25,19
2020-07-20,03:00 PM,49,0,3895,0,4,9,7,9,6,7,2,0,1,25,20
2020-07-21,03:00 PM,53,0,4089,0,4,11,7,9,7,7,3,0,1,27,22
2020-07-22,03:00 PM,55,1,4186,0,4,13,7,9,7,7,3,0,1,28,23
2020-07-23,03:00 PM,59,1,4242,0,4,13,9,9,7,7,4,0,1,30,24
2020-07-24,03:00 PM,63,1,4259,0,5,13,9,9,9,7,5,0,1,32,26
2020-07-25,03:00 PM,64,1,4282,0,6,13,9,9,9,7,5,0,1,33,26
2020-07-26,03:00 PM,63,1,4328,0,6,13,9,9,9,7,6,0,1,34,26
2020-07-27,03:00 PM,63,1,4377,0,6,13,9,9,9,7,6,0,1,34,26
2020-07-28,03:00 PM,63,1,4425,0,6,13,9,9,9,7,6,0,1,34,27
2020-07-29,03:00 PM,65,2,4610,0,6,14,9,9,11,7,6,0,1,34,29
2020-07-30,03:00 PM,65,2,4697,0,6,14,9,9,11,7,6,0,1,34,29
2020-07-31,03:00 PM,66,2,4748,0,6,14,9,9,11,7,7,0,1,34,30
2020-08-01,03:00 PM,66,2,4794,0,6,14,9,9,11,7,7,0,1,34,30
2020-08-02,03:00 PM,67,2,4870,0,6,14,10,9,11,7,7,0,1,35,30
2020-08-03,03:00 PM,67,2,4916,0,6,14,10,9,11,7,7,0,1,35,30
2020-08-04,03:00 PM,68,2,5088,0,6,15,10,9,11,7,7,0,1,35,31
