data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,2,1,162,0,0,0,1,0,1,0,0,0,0,0,2
2020-07-11,03:00 PM,2,1,162,0,0,0,1,0,1,0,0,0,0,0,2
2020-07-12,03:00 PM,3,1,165,0,0,0,1,0,1,0,1,0,0,1,2
2020-07-13,03:00 PM,3,1,166,0,0,0,1,0,1,0,1,0,0,1,2
2020-07-14,03:00 PM,3,1,168,0,0,0,1,0,1,0,1,0,0,1,2
2020-07-15,03:00 PM,3,1,168,0,0,0,1,0,1,0,1,0,0,1,1
2020-07-16,03:00 PM,3,1,169,0,0,0,1,0,1,0,1,0,0,1,2
2020-07-17,03:00 PM,4,1,172,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-18,03:00 PM,4,1,177,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-19,03:00 PM,4,1,177,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-20,03:00 PM,4,1,177,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-21,03:00 PM,4,1,177,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-22,03:00 PM,4,1,178,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-23,03:00 PM,4,1,178,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-24,03:00 PM,4,1,178,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-25,03:00 PM,4,1,179,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-26,03:00 PM,4,1,181,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-27,03:00 PM,4,1,182,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-28,03:00 PM,4,1,183,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-29,03:00 PM,4,1,183,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-30,03:00 PM,4,1,188,0,1,0,1,0,1,0,1,0,0,1,3
2020-07-31,03:00 PM,4,1,192,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-01,03:00 PM,4,1,194,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-02,03:00 PM,4,1,195,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-03,03:00 PM,4,1,198,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-04,03:00 PM,4,1,200,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-05,03:00 PM,4,1,202,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-06,03:00 PM,4,1,204,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-07,03:00 PM,5,1,207,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-08,03:00 PM,5,1,207,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-09,03:00 PM,5,1,215,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-10,03:00 PM,5,1,219,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-11,03:00 PM,5,1,223,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-12,03:00 PM,5,1,226,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-13,03:00 PM,5,1,227,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-14,03:00 PM,5,1,231,0,1,0,1,0,1,0,1,0,0,1,3
2020-08-15,03:00 PM,6,1,235,0,1,0,1,0,1,1,1,0,0,1,4
2020-08-16,03:00 PM,6,1,237,0,1,0,1,0,1,1,1,0,0,1,4
2020-08-17,03:00 PM,6,1,240,0,1,0,1,0,1,1,1,0,0,1,4
