data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,813,30,30176,50,106,141,145,118,113,74,35,19,5,368,438
2020-07-11,03:00 PM,813,30,30176,50,106,141,145,118,113,74,35,19,5,368,438
2020-07-12,03:00 PM,821,30,30840,50,106,145,146,120,114,74,35,19,5,371,443
2020-07-13,03:00 PM,838,30,31043,52,111,148,147,121,115,77,36,19,5,380,451
2020-07-14,03:00 PM,847,30,31897,52,111,150,150,122,116,77,36,21,5,384,456
2020-07-15,03:00 PM,853,30,32152,52,112,152,150,122,117,79,36,21,5,384,389
2020-07-16,03:00 PM,867,31,32609,53,114,154,152,123,120,80,37,21,5,395,464
2020-07-17,03:00 PM,883,31,32972,54,118,155,156,127,121,80,37,21,5,395,464
2020-07-18,03:00 PM,895,31,33784,54,122,158,157,127,122,80,37,22,5,408,476
2020-07-19,03:00 PM,905,31,34160,54,122,161,159,129,125,80,37,22,5,412,482
2020-07-20,03:00 PM,919,31,34622,54,126,166,160,132,126,80,37,22,5,416,492
2020-07-21,03:00 PM,933,31,35090,54,129,172,160,133,129,80,38,22,5,426,496
2020-07-22,03:00 PM,942,32,35452,55,131,175,160,133,131,81,38,22,5,429,502
2020-07-23,03:00 PM,957,32,36079,56,132,179,165,133,134,81,38,22,5,439,506
2020-07-24,03:00 PM,972,32,36453,57,134,184,168,133,136,83,38,22,5,445,515
2020-07-25,03:00 PM,983,32,36912,57,136,188,170,134,137,83,39,23,5,450,522
2020-07-26,03:00 PM,994,33,37306,59,139,189,170,135,138,85,39,23,5,452,530
2020-07-27,03:00 PM,1009,33,37827,60,141,191,174,141,138,85,39,23,5,462,535
2020-07-28,03:00 PM,1018,33,38334,60,141,191,174,141,138,85,39,23,5,468,538
2020-07-29,03:00 PM,1032,33,39005,61,146,194,178,146,141,87,39,23,5,476,544
2020-07-30,03:00 PM,1049,33,39563,62,149,199,181,147,141,88,40,23,5,485,550
2020-07-31,03:00 PM,1063,33,40052,64,152,201,182,151,145,88,40,23,5,491,560
2020-08-01,03:00 PM,1070,33,40238,64,152,200,182,155,146,89,40,23,5,493,563
2020-08-02,03:00 PM,1082,33,40668,65,153,202,184,157,148,91,41,23,5,500,569
2020-08-03,03:00 PM,1095,33,41255,65,155,205,186,161,150,91,41,23,5,506,576
2020-08-04,03:00 PM,1096,33,41470,65,156,205,186,161,150,91,41,23,5,506,577
2020-08-05,03:00 PM,1104,33,42384,65,157,208,187,163,151,91,42,23,5,509,583
2020-08-06,03:00 PM,1111,33,42855,65,160,207,188,164,152,91,42,23,5,508,589
2020-08-07,03:00 PM,1117,33,43130,65,161,209,191,164,153,91,42,23,5,512,592
2020-08-08,03:00 PM,1126,33,43565,66,163,210,192,166,154,92,42,23,5,519,594
2020-08-09,03:00 PM,1126,33,43914,66,163,210,192,166,154,92,42,23,5,519,594
2020-08-10,03:00 PM,1133,33,44298,67,163,210,192,166,158,93,42,24,5,521,599
2020-08-11,03:00 PM,1137,33,44569,67,164,211,193,166,159,93,42,24,5,25,20
2020-08-12,03:00 PM,1142,33,45229,67,165,211,194,166,159,94,42,26,5,525,604
2020-08-13,03:00 PM,1146,33,45829,67,166,212,194,166,161,94,42,26,5,528,605
2020-08-14,03:00 PM,1149,33,46215,67,166,212,195,167,161,95,42,26,5,529,607
2020-08-15,03:00 PM,1152,33,46541,67,166,212,196,167,162,95,43,26,5,531,608
2020-08-16,03:00 PM,1158,33,46927,67,166,213,198,168,162,97,43,26,5,535,610
2020-08-17,03:00 PM,1158,33,47313,67,166,213,198,168,162,97,43,26,5,535,610
2020-08-18,03:00 PM,1161,33,47659,67,166,214,198,170,162,97,43,26,5,30,25
2020-08-19,03:00 PM,1162,33,48224,67,166,215,198,170,162,97,43,26,5,30,25
2020-08-20,03:00 PM,1172,33,48758,67,167,218,199,172,165,97,43,26,5,30,26
2020-08-21,03:00 PM,1176,33,49129,67,167,220,200,173,165,98,43,26,5,31,27
2020-08-22,03:00 PM,1181,35,49540,67,167,222,200,173,166,98,43,27,6,546,623
2020-08-24,03:00 PM,1194,35,50653,67,167,224,202,176,168,101,44,27,6,540,632
2020-08-25,03:00 PM,1199,35,51157,68,167,225,203,177,168,101,45,27,6,542,635
