data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,158,2,6951,9,14,31,21,16,20,22,13,3,1,70,80
2020-07-11,03:00 PM,158,2,6951,9,14,31,21,16,20,22,13,3,1,70,80
2020-07-12,03:00 PM,160,2,7011,9,15,31,21,16,20,22,13,3,1,70,81
2020-07-13,03:00 PM,162,2,7194,9,16,31,21,17,20,21,13,3,1,72,80
2020-07-14,03:00 PM,179,3,7268,11,18,35,23,19,23,22,13,4,1,77,92
2020-07-15,03:00 PM,184,3,7315,11,18,37,23,20,23,22,15,4,1,77,77
2020-07-16,03:00 PM,186,3,7433,11,18,37,23,21,23,22,14,3,1,76,97
2020-07-17,03:00 PM,188,3,7595,11,18,37,23,22,23,22,14,3,1,75,99
2020-07-18,03:00 PM,189,3,7770,11,18,38,24,22,23,22,14,3,1,77,99
2020-07-19,03:00 PM,197,4,7924,11,18,39,28,24,25,22,14,3,1,79,106
2020-07-20,03:00 PM,197,4,8014,11,18,39,27,24,25,22,15,3,1,80,105
2020-07-21,03:00 PM,212,4,8125,13,22,43,28,25,27,22,15,3,1,85,114
2020-07-22,03:00 PM,223,4,8253,15,24,47,29,26,28,22,15,3,1,90,120
2020-07-23,03:00 PM,229,4,8351,16,25,49,30,28,28,22,15,3,1,92,125
2020-07-24,03:00 PM,235,4,8551,18,26,50,31,28,28,22,16,3,1,93,130
2020-07-25,03:00 PM,252,4,8691,19,29,53,33,34,30,23,16,3,1,102,139
2020-07-26,03:00 PM,260,4,8857,19,30,55,35,36,31,24,16,3,1,108,142
2020-07-27,03:00 PM,267,4,9105,19,30,57,36,39,32,24,16,3,1,114,143
2020-07-28,03:00 PM,270,4,9353,19,30,57,36,39,32,24,16,3,1,117,143
2020-07-29,03:00 PM,289,4,9480,23,35,60,38,43,35,25,17,4,1,125,156
2020-07-30,03:00 PM,300,5,9642,24,36,66,41,43,37,25,17,4,2,131,164
2020-07-31,03:00 PM,317,5,9782,25,40,70,41,45,42,24,17,5,2,135,176
