data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,3600,188,25655,176,379,531,605,535,572,429,198,118,31,1756,1818
2020-07-11,03:00 PM,3600,188,25655,176,379,531,605,535,572,429,198,118,31,1756,1818
2020-07-12,03:00 PM,3614,190,26098,177,380,533,607,535,574,434,200,118,31,1759,1830
2020-07-13,03:00 PM,3634,190,26293,178,380,537,612,535,579,437,201,119,31,1769,1840
2020-07-14,03:00 PM,3657,191,26420,178,386,539,617,536,583,440,202,119,31,1780,1851
2020-07-15,03:00 PM,3679,192,26723,180,389,544,620,537,587,444,202,119,31,1780,1789
2020-07-16,03:00 PM,3689,194,26929,179,390,549,622,538,585,445,204,119,31,1794,1868
2020-07-17,03:00 PM,3709,196,27260,180,393,556,625,539,587,447,204,119,31,1804,1877
2020-07-18,03:00 PM,3724,198,27470,181,394,556,627,543,591,448,205,120,31,1812,1884
2020-07-19,03:00 PM,3743,198,27711,182,399,558,633,544,593,449,205,120,31,1823,1891
2020-07-20,03:00 PM,3754,199,27872,183,401,561,639,544,593,449,205,120,31,1828,1898
2020-07-21,03:00 PM,3767,202,28071,184,403,563,639,548,595,451,205,120,31,1835,1904
2020-07-22,03:00 PM,3783,206,28189,186,404,566,641,551,597,452,205,121,31,1841,1913
