data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,125,1,5245,6,12,31,19,22,10,14,4,6,0,71,53
2020-07-11,03:00 PM,125,1,5245,6,12,31,19,22,10,14,4,6,0,71,53
2020-07-12,03:00 PM,138,1,5320,6,13,33,25,25,11,14,4,6,0,77,60
2020-07-13,03:00 PM,140,1,5519,6,13,34,26,25,11,14,4,6,0,77,62
2020-07-14,03:00 PM,144,1,5589,7,15,34,27,25,11,14,4,6,0,79,64
2020-07-15,03:00 PM,150,1,5618,9,17,35,28,25,11,15,4,6,0,79,83
2020-07-16,03:00 PM,154,1,5703,9,18,35,28,27,12,14,4,6,0,84,69
2020-07-17,03:00 PM,167,1,5778,9,19,39,31,29,15,14,4,6,0,91,75
2020-07-18,03:00 PM,168,1,5941,9,19,40,31,29,15,14,4,6,0,92,75
2020-07-19,03:00 PM,173,1,6067,10,20,42,31,28,16,14,4,6,0,95,76
2020-07-20,03:00 PM,181,2,6149,10,21,44,32,30,16,16,4,6,0,98,81
2020-07-21,03:00 PM,187,2,6211,11,23,45,34,31,16,16,4,6,0,103,83
2020-07-22,03:00 PM,196,2,6327,11,24,48,35,32,17,16,4,8,0,107,88
2020-07-23,03:00 PM,202,2,6346,12,24,49,36,33,18,17,4,8,0,109,92
2020-07-24,03:00 PM,207,2,6432,12,24,48,38,34,19,18,4,8,0,113,92
2020-07-25,03:00 PM,213,2,6557,13,25,49,38,36,20,18,5,8,0,118,94
2020-07-26,03:00 PM,217,2,6651,13,27,49,38,36,21,19,5,8,0,120,96
2020-07-27,03:00 PM,221,2,6795,13,27,49,39,37,22,20,5,8,0,122,98
2020-07-28,03:00 PM,225,2,6939,13,27,49,39,37,22,20,5,8,0,125,98
2020-07-29,03:00 PM,233,3,7082,15,28,53,41,38,23,21,5,8,0,130,102
2020-07-30,03:00 PM,236,3,7185,15,28,53,42,38,25,21,5,8,0,130,105
2020-07-31,03:00 PM,239,3,7233,15,28,54,43,39,25,21,5,8,0,133,105
2020-08-01,03:00 PM,242,3,7362,15,28,55,44,39,25,22,5,8,0,135,106
2020-08-02,03:00 PM,247,4,7417,15,28,58,44,39,27,22,5,8,0,136,110
2020-08-03,03:00 PM,253,4,7530,15,28,58,47,41,28,22,5,8,0,140,112
2020-08-04,03:00 PM,258,4,7556,15,28,59,49,41,29,23,5,8,0,144,113
2020-08-05,03:00 PM,267,4,7729,16,28,60,53,41,31,23,6,8,0,151,115
2020-08-06,03:00 PM,269,4,7835,16,29,61,53,41,31,23,6,8,0,151,117
