data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,1,0,389,0,0,0,0,0,0,1,0,0,0,1,0
2020-07-11,03:00 PM,1,0,389,0,0,0,0,0,0,1,0,0,0,1,0
2020-07-12,03:00 PM,2,0,400,0,0,0,0,0,0,1,0,0,1,2,0
2020-07-13,03:00 PM,3,0,398,0,0,0,0,0,0,1,1,0,1,3,0
2020-07-14,03:00 PM,3,0,400,0,0,0,0,0,0,1,1,0,0,2,0
2020-07-15,03:00 PM,2,0,408,0,0,0,0,0,0,1,1,0,0,2,2
2020-07-16,03:00 PM,2,0,413,0,0,0,0,0,0,1,1,0,0,2,0
2020-07-17,03:00 PM,2,0,416,0,0,0,0,0,0,1,1,0,0,2,0
2020-07-18,03:00 PM,3,0,426,0,0,0,0,1,0,1,1,0,0,3,0
2020-07-19,03:00 PM,3,0,437,0,0,0,0,1,0,1,1,0,0,3,0
2020-07-20,03:00 PM,3,0,440,0,0,0,0,1,0,1,1,0,0,3,0
