data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,175,2,10840,6,16,35,28,28,32,14,8,6,2,86,89
2020-07-11,03:00 PM,175,2,10840,6,16,35,28,28,32,14,8,6,2,86,89
2020-07-12,03:00 PM,178,2,11041,6,17,36,28,28,33,14,8,6,2,87,91
2020-07-13,03:00 PM,186,2,11186,7,19,36,29,30,34,14,8,6,2,92,93
2020-07-14,03:00 PM,192,2,11343,7,19,38,33,30,34,14,8,6,2,96,95
2020-07-15,03:00 PM,198,2,11437,7,20,39,33,31,37,14,8,6,2,96,98
2020-07-16,03:00 PM,206,2,11669,7,20,40,34,33,39,15,8,6,2,104,100
2020-07-17,03:00 PM,217,2,11804,8,24,40,36,35,40,16,8,6,2,110,105
2020-07-18,03:00 PM,241,2,12280,12,30,44,39,38,44,16,8,7,2,117,123
2020-07-19,03:00 PM,247,2,12470,13,32,45,39,38,46,16,8,7,2,119,127
2020-07-20,03:00 PM,252,2,12647,13,33,46,39,39,46,17,8,7,2,120,130
2020-07-21,03:00 PM,260,2,12876,14,36,48,40,39,48,17,8,7,2,125,134
2020-07-22,03:00 PM,264,2,13039,14,37,48,41,40,49,17,8,7,2,126,137
2020-07-23,03:00 PM,278,2,13370,14,38,51,47,41,50,17,8,7,2,130,145
2020-07-24,03:00 PM,285,2,13551,15,39,54,48,42,51,18,8,7,2,134,150
2020-07-25,03:00 PM,295,2,13863,15,40,54,52,44,53,19,8,7,2,139,155
2020-07-26,03:00 PM,302,2,13998,15,40,55,54,47,54,19,8,7,2,144,157
2020-07-27,03:00 PM,313,3,14280,15,45,57,56,48,54,20,9,7,2,147,166
2020-07-28,03:00 PM,319,3,14557,15,45,57,56,48,54,20,9,7,2,152,167
2020-07-29,03:00 PM,333,4,14850,17,48,58,60,54,57,20,10,7,2,158,175
2020-07-30,03:00 PM,342,4,15144,18,49,58,61,56,58,22,11,7,2,160,182
2020-07-31,03:00 PM,346,4,15342,18,49,59,61,58,59,22,11,7,2,162,184
2020-08-01,03:00 PM,354,4,15532,19,49,59,61,62,62,22,11,7,2,166,188
2020-08-02,03:00 PM,357,4,15677,19,49,59,61,64,63,22,11,7,2,169,188
2020-08-03,03:00 PM,369,4,15946,24,50,62,61,63,64,24,11,7,2,175,193
2020-08-04,03:00 PM,373,4,16032,24,50,62,62,64,64,25,12,7,2,176,196
2020-08-05,03:00 PM,381,4,16472,24,51,63,63,66,66,25,13,7,2,179,201
