data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,2659,169,25560,82,195,419,533,425,360,309,140,115,54,1302,1330
2020-07-11,03:00 PM,2659,169,25560,82,195,419,533,425,360,309,140,115,54,1302,1330
2020-07-12,03:00 PM,2687,170,26049,82,198,429,540,432,360,308,141,115,54,1319,1340
2020-07-13,03:00 PM,2711,171,26693,82,199,433,544,436,365,311,143,115,54,1333,1349
2020-07-14,03:00 PM,2731,172,26854,82,201,440,549,438,368,311,144,116,54,1342,1361
2020-07-15,03:00 PM,2742,173,27423,82,201,443,551,441,368,314,145,116,54,1342,1351
2020-07-16,03:00 PM,2766,174,27713,84,204,447,560,445,370,315,145,116,54,1363,1377
2020-07-17,03:00 PM,2782,175,27713,84,205,449,563,448,378,315,145,116,55,1367,1391
2020-07-18,03:00 PM,2808,176,28310,85,209,453,570,451,379,315,147,116,59,1379,1405
2020-07-19,03:00 PM,2829,176,29083,86,212,457,575,451,381,318,148,117,59,1388,1416
2020-07-20,03:00 PM,2834,176,29247,86,212,458,574,453,382,318,149,118,59,1389,1420
2020-07-21,03:00 PM,2842,176,29694,86,212,462,575,455,382,319,149,118,59,1393,1424
2020-07-22,03:00 PM,2861,176,29854,86,214,466,578,457,386,319,151,120,59,1403,1433
2020-07-23,03:00 PM,2869,176,30036,86,214,466,582,459,387,320,151,120,59,1408,1436
2020-07-24,03:00 PM,2890,176,30415,88,216,470,588,461,390,322,151,120,59,1420,1445
2020-07-25,03:00 PM,2901,177,31121,89,217,471,590,461,392,322,154,122,59,1426,1451
2020-07-26,03:00 PM,2910,178,31469,89,218,472,596,462,393,322,153,122,59,1431,1455
2020-07-27,03:00 PM,2915,178,31781,89,218,474,597,462,393,323,153,122,59,1433,1457
2020-07-28,03:00 PM,2926,178,32089,89,218,474,597,462,393,323,153,122,59,1436,1465
2020-07-29,03:00 PM,2946,178,32413,92,225,477,607,464,397,323,154,123,59,1444,1477
2020-07-30,03:00 PM,2964,178,32745,92,225,481,612,469,399,323,156,123,59,1455,1484
2020-07-31,03:00 PM,2986,179,33196,93,228,488,618,471,400,325,157,123,59,1468,1494
2020-08-01,03:00 PM,2994,180,33646,94,229,488,619,472,400,328,157,123,59,1470,1499
2020-08-02,03:00 PM,2999,181,33893,94,230,489,619,473,400,328,158,123,60,1472,1502
2020-08-03,03:00 PM,3002,181,34313,94,230,489,621,473,400,328,159,123,60,1473,1504
2020-08-04,03:00 PM,3003,181,34409,95,230,489,621,473,400,328,159,123,60,1474,1504
2020-08-05,03:00 PM,3008,182,34839,95,230,490,621,474,401,328,160,123,60,1475,1507
2020-08-06,03:00 PM,3017,182,35055,95,231,493,624,476,401,329,160,123,60,1481,1511
2020-08-07,03:00 PM,3026,183,35481,95,233,495,626,477,403,329,160,123,60,1485,1516
2020-08-08,03:00 PM,3037,183,35875,96,233,499,628,479,403,329,161,123,61,1491,1521
2020-08-09,03:00 PM,3040,183,36112,96,233,500,628,481,403,329,161,124,60,1493,1522
2020-08-10,03:00 PM,3044,184,36506,96,233,502,629,482,404,329,162,124,60,1498,1523
2020-08-11,03:00 PM,3047,184,36636,96,233,503,629,483,405,329,162,124,60,522,602
2020-08-12,03:00 PM,3064,185,36886,96,234,509,631,486,409,330,162,124,60,1508,1533
2020-08-13,03:00 PM,3069,185,37168,96,234,510,631,486,411,331,163,124,60,1510,1536
2020-08-14,03:00 PM,3072,185,37315,96,234,510,632,486,412,332,163,124,60,1511,1538
2020-08-15,03:00 PM,3084,187,37549,96,237,514,635,487,412,332,164,124,60,1517,1544
2020-08-16,03:00 PM,3093,187,37714,96,237,516,636,488,415,334,164,124,60,1523,1547
2020-08-17,03:00 PM,3102,187,37920,96,239,518,636,489,415,337,164,124,61,1528,1551
2020-08-18,03:00 PM,3104,187,38134,96,239,518,636,489,415,338,165,124,61,537,611
2020-08-19,03:00 PM,3106,188,38351,96,239,519,638,489,415,338,165,124,60,537,612
2020-08-20,03:00 PM,3116,189,38504,96,239,519,642,492,417,339,165,124,60,542,617
