data,time,cases,deaths,tests,0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80-89,90+,male,female
2020-07-10,11:11 PM,262,0,6308,27,35,58,51,15,38,22,12,1,0,134,125
2020-07-11,03:00 PM,262,0,6308,27,35,58,51,15,38,22,12,1,0,134,125
2020-07-12,03:00 PM,269,0,6425,29,36,59,52,16,39,22,12,1,0,136,130
2020-07-13,03:00 PM,280,0,6634,29,36,61,54,19,42,23,12,1,0,139,138
2020-07-14,03:00 PM,285,0,6827,29,36,64,54,20,42,23,12,2,0,142,140
2020-07-15,03:00 PM,291,0,6938,29,36,65,56,21,43,24,12,2,0,142,146
2020-07-16,03:00 PM,299,0,7011,29,38,67,57,23,43,25,12,2,0,150,146
2020-07-17,03:00 PM,322,0,7107,31,39,70,61,30,47,25,13,3,0,162,157
2020-07-18,03:00 PM,333,0,7484,31,41,72,63,31,51,25,13,3,0,165,165
2020-07-19,03:00 PM,343,0,7692,31,42,75,65,31,52,26,15,3,0,169,171
2020-07-20,03:00 PM,378,0,8053,34,47,83,70,37,57,29,15,3,0,181,194
2020-07-21,03:00 PM,379,0,8159,34,47,83,70,36,58,29,15,3,0,181,194
2020-07-22,03:00 PM,411,1,8192,39,52,89,75,40,60,30,19,3,0,192,215
2020-07-23,03:00 PM,431,1,8378,40,53,91,84,42,64,30,19,4,0,200,227
2020-07-24,03:00 PM,465,2,8608,43,58,97,92,45,69,32,19,5,0,216,244
2020-07-25,03:00 PM,479,2,8820,44,62,100,94,46,70,32,20,5,0,223,250
2020-07-26,03:00 PM,506,2,9070,46,68,103,97,48,75,34,22,6,0,236,263
2020-07-27,03:00 PM,523,2,9385,48,69,108,98,53,76,35,22,6,0,240,275
2020-07-28,03:00 PM,546,3,9700,48,69,108,98,53,76,35,22,6,0,253,287
2020-07-29,03:00 PM,571,3,9881,55,78,114,108,60,81,35,26,8,0,269,296
2020-07-30,03:00 PM,581,3,10004,55,79,115,112,62,81,37,26,8,0,273,302
2020-07-31,03:00 PM,596,3,10111,55,80,120,115,64,84,38,26,8,0,280,310
2020-08-01,03:00 PM,605,3,10230,56,80,122,115,66,86,40,26,8,0,289,310
2020-08-02,03:00 PM,626,4,10451,57,84,125,116,73,88,42,26,8,0,301,318
2020-08-03,03:00 PM,641,4,10635,57,86,129,120,76,90,42,28,9,0,311,326
2020-08-04,03:00 PM,656,4,10693,57,87,130,123,81,91,44,29,9,0,315,336
2020-08-05,03:00 PM,679,4,11100,60,94,132,128,82,92,46,31,9,0,327,347
2020-08-06,03:00 PM,706,4,11395,62,100,137,130,88,94,48,32,10,0,341,360
2020-08-07,03:00 PM,729,4,11697,62,101,142,137,91,97,48,32,12,0,353,369
2020-08-08,03:00 PM,740,4,11843,63,104,145,138,93,97,50,32,12,0,360,374
2020-08-09,03:00 PM,751,4,12032,63,104,151,139,94,99,51,32,12,0,363,382
2020-08-10,03:00 PM,776,4,12272,63,107,160,144,99,100,51,33,13,0,369,401
2020-08-11,03:00 PM,798,5,12480,65,109,164,148,104,102,53,33,14,0,379,413
2020-08-12,03:00 PM,830,5,12734,71,116,168,154,109,105,54,33,14,0,398,426
2020-08-13,03:00 PM,863,5,12844,74,119,176,161,114,110,54,35,15,0,409,449
2020-08-14,03:00 PM,876,5,12996,74,120,177,166,116,112,56,35,15,0,416,455
2020-08-15,03:00 PM,890,5,13247,76,120,179,168,118,114,58,37,15,0,421,464
2020-08-16,03:00 PM,903,5,13413,77,122,183,170,118,116,60,37,15,0,430,468
2020-08-17,03:00 PM,922,6,13535,78,125,188,174,121,118,61,37,15,0,442,475
2020-08-18,03:00 PM,930,6,13735,78,126,188,178,122,120,62,37,15,0,444,482
2020-08-19,03:00 PM,942,7,13875,78,127,188,181,125,121,62,39,15,1,449,488
2020-08-20,03:00 PM,965,7,14010,78,129,193,186,129,126,64,40,15,1,462,499
2020-08-21,03:00 PM,991,7,14116,78,135,196,193,132,129,68,40,15,1,473,514
2020-08-22,03:00 PM,1010,7,14274,79,136,198,196,134,132,71,41,17,1,487,518
2020-08-24,03:00 PM,1036,8,14821,81,141,202,204,136,135,71,43,16,1,485,535
2020-08-25,03:00 PM,1045,9,14914,81,144,203,207,137,136,71,43,16,1,487,542
2020-08-26,03:00 PM,1048,9,14988,82,143,203,208,137,137,72,43,17,1,491,542
2020-08-27,03:00 PM,1076,9,15123,84,146,209,211,139,143,74,45,17,1,502,554
2020-08-28,03:00 PM,1084,10,15325,83,148,210,213,142,144,74,45,17,1,506,558
2020-08-29,03:00 PM,1097,10,15420,85,150,214,214,147,143,74,45,17,1,510,567
2020-08-30,03:00 PM,1108,10,15582,89,153,214,217,148,143,74,46,17,1,517,572
2020-08-31,03:00 PM,1126,11,15631,93,154,216,218,152,144,79,47,17,1,524,584
2020-09-01,03:00 PM,1131,12,15808,93,154,217,220,153,144,79,47,17,1,526,586
2020-09-02,03:00 PM,1132,15,15875,93,154,217,221,153,144,79,47,17,1,526,587
2020-09-03,03:00 PM,1151,15,15986,93,154,221,222,159,145,82,49,18,2,534,598
2020-09-04,03:00 PM,1170,15,16093,93,154,226,228,161,146,85,50,18,2,542,608
2020-09-05,03:00 PM,1178,15,16173,95,154,228,230,162,147,85,50,18,2,546,612
2020-09-06,03:00 PM,1192,16,16260,96,156,231,234,163,150,85,50,18,2,553,619
2020-09-07,03:00 PM,1198,16,16385,96,157,233,233,163,152,85,50,18,3,556,621
2020-09-08,03:00 PM,1204,16,16418,97,157,235,233,165,152,85,50,18,3,557,625
2020-09-09,03:00 PM,1205,16,16697,97,157,236,232,165,152,85,50,18,3,556,626
2020-09-10,03:00 PM,1212,17,16791,98,157,235,232,166,155,87,51,19,3,561,629
2020-09-11,03:00 PM,1225,17,16836,98,158,236,233,170,158,87,51,21,3,569,632
2020-09-12,03:00 PM,1239,18,16976,100,161,239,241,170,158,87,51,21,3,574,644
2020-09-13,03:00 PM,1247,19,17021,101,162,241,243,171,158,87,52,21,3,576,650
2020-09-14,03:00 PM,1261,19,17160,101,163,241,246,172,164,87,53,22,3,580,659
2020-09-15,03:00 PM,1264,19,17226,102,163,241,246,173,164,87,54,22,3,581,661
2020-09-16,03:00 PM,1268,19,17381,102,163,243,248,172,164,87,55,22,3,584,662
2020-09-17,03:00 PM,1284,20,17629,102,164,249,250,175,167,87,56,22,3,592,670
2020-09-18,03:00 PM,1299,21,17832,102,164,253,253,178,170,89,56,22,3,600,676
2020-09-19,03:00 PM,1316,21,17938,102,166,260,255,181,172,90,56,22,3,611,682
2020-09-20,03:00 PM,1327,21,18148,102,167,263,259,181,174,90,57,24,3,615,691
2020-09-21,03:00 PM,1327,21,18148,102,167,263,259,181,174,90,57,24,3,615,691
2020-09-22,03:00 PM,1334,21,18273,104,167,263,262,181,175,90,59,24,3,619,694
2020-09-23,03:00 PM,1342,21,18450,104,168,267,264,181,175,90,60,24,3,622,699
2020-09-24,03:00 PM,1349,22,18493,104,169,271,265,182,176,90,61,24,3,627,703
2020-09-25,03:00 PM,1365,22,18639,105,172,272,265,185,180,92,62,24,3,640,705
2020-09-26,03:00 PM,1382,22,18823,105,173,277,267,189,181,93,62,25,3,646,713
2020-09-28,03:00 PM,1412,22,19050,108,176,281,274,195,189,93,62,27,3,661,730
2020-09-29,03:00 PM,1414,22,19236,108,176,281,273,195,190,93,63,27,3,661,731
2020-09-30,03:00 PM,1419,22,19323,108,176,281,274,197,193,93,64,27,3,667,732
2020-10-01,03:00 PM,1448,24,19548,111,181,286,278,203,195,95,64,28,3,676,751
2020-10-02,03:00 PM,1464,24,19726,111,184,290,282,204,197,95,64,30,3,686,756
2020-10-03,03:00 PM,1490,26,19847,114,188,295,287,205,201,99,64,31,3,697,771
2020-10-04,03:00 PM,1512,26,19911,115,193,300,291,207,203,100,64,32,3,705,784
2020-10-05,03:00 PM,1523,26,20061,115,198,301,296,207,204,100,64,32,3,710,791
2020-10-06,03:00 PM,1524,27,20161,115,198,301,297,207,205,100,64,32,3,712,791
2020-10-07,03:00 PM,1543,27,20236,118,200,308,298,208,208,101,64,32,4,720,802
2020-10-08,03:00 PM,1574,27,20412,119,203,312,304,214,216,104,64,32,4,734,818
2020-10-09,03:00 PM,1584,27,20648,120,203,314,306,217,217,104,64,32,4,739,822
2020-10-10,03:00 PM,1620,27,20753,124,209,319,311,223,220,110,65,32,4,758,839
2020-10-11,03:00 PM,1631,28,20930,125,209,320,313,226,221,111,66,32,4,763,844
2020-10-12,03:00 PM,1636,28,21030,126,210,321,315,226,222,111,66,32,4,766,847
2020-10-13,03:00 PM,1649,28,21185,127,211,324,319,229,224,112,66,32,4,770,857
2020-10-14,03:00 PM,1668,28,21403,129,215,325,322,230,226,116,68,32,4,778,868
2020-10-15,03:00 PM,1684,28,21446,129,217,330,324,234,227,118,69,32,4,787,876
2020-10-16,03:00 PM,1713,28,21493,131,222,337,327,236,231,123,69,32,4,803,888
2020-10-17,03:00 PM,1767,28,21658,136,230,352,333,243,235,126,72,33,5,826,918
2020-10-18,03:00 PM,1782,28,21924,136,231,355,335,248,236,128,73,33,5,832,927
2020-10-19,03:00 PM,1808,28,22085,139,235,359,336,253,243,129,73,34,5,842,942
2020-10-20,03:00 PM,1837,28,22258,140,240,364,338,259,244,131,75,37,6,853,959
2020-10-21,03:00 PM,1855,28,22394,141,242,365,339,263,248,132,76,39,6,856,972
2020-10-22,03:00 PM,1893,28,22559,145,246,371,342,267,253,137,77,42,7,868,993
2020-10-23,03:00 PM,1928,28,22731,145,252,378,347,271,260,141,78,43,7,883,1013
2020-10-24,03:00 PM,1966,28,22896,145,252,386,351,275,270,146,82,46,9,901,1035
2020-10-25,03:00 PM,2017,28,23058,146,258,393,359,283,280,148,88,49,9,921,1063
2020-10-26,03:00 PM,2062,28,23331,150,263,399,366,293,284,149,90,51,9,940,1085
2020-10-27,03:00 PM,2081,28,23493,150,264,402,373,298,287,151,91,51,9,950,1097
2020-10-28,03:00 PM,2088,29,23577,150,264,406,374,299,288,150,91,51,9,952,1101
2020-10-29,03:00 PM,2110,29,23899,151,266,411,377,304,293,151,91,52,9,960,1114
2020-10-30,03:00 PM,2177,29,24145,162,274,420,387,319,300,154,93,54,9,994,1146
2020-10-31,03:00 PM,2202,29,24350,163,274,426,388,320,303,154,101,59,9,1003,1161
2020-11-01,03:00 PM,2208,29,24556,164,274,427,389,321,304,154,102,59,9,1005,1165
2020-11-02,03:00 PM,2217,30,24720,164,277,427,392,322,304,155,102,59,10,1009,1170
2020-11-03,03:00 PM,2233,31,24919,165,277,433,393,325,304,157,104,60,12,1018,1179
2020-11-04,03:00 PM,2318,32,25270,168,285,456,415,338,312,161,106,61,13,1051,1228
2020-11-05,03:00 PM,2371,32,25697,170,289,471,430,344,317,164,108,62,13,1077,1255
2020-11-06,03:00 PM,2400,32,25950,172,293,478,439,346,319,166,108,62,13,1092,1268
2020-11-07,03:00 PM,2438,32,26062,177,297,486,444,349,326,169,110,62,13,1112,1284
2020-11-08,03:00 PM,2494,33,26409,179,302,501,451,357,334,172,116,65,13,1142,1311
2020-11-09,03:00 PM,2563,33,26641,184,312,512,461,374,340,178,118,66,13,1176,1343
2020-11-10,03:00 PM,2638,33,26861,186,323,527,473,386,352,183,121,69,13,1203,1391
2020-11-11,03:00 PM,2712,34,27364,189,336,541,484,403,360,188,124,70,13,1221,1448
2020-11-12,03:00 PM,2767,34,27430,194,345,548,494,410,369,192,126,70,14,1252,1471
2020-11-13,03:00 PM,2836,34,27579,196,351,567,505,423,379,194,129,72,14,1283,1506
2020-11-14,03:00 PM,2879,34,28306,199,352,575,517,432,384,198,129,72,14,1306,1525
2020-11-15,03:00 PM,2936,34,28617,203,363,593,521,441,385,204,134,72,14,1325,1563
2020-11-16,03:00 PM,2963,34,28872,204,368,601,524,443,388,206,136,72,14,1338,1576
2020-11-17,03:00 PM,3003,34,29208,205,376,607,533,449,393,207,137,73,15,1353,1600
2020-11-18,03:00 PM,3099,34,29487,217,396,627,547,457,405,214,138,74,16,1398,1651
2020-11-19,03:00 PM,3222,34,30128,228,407,647,570,472,423,228,140,76,16,1457,1708
2020-11-20,03:00 PM,3378,35,30343,233,422,685,585,498,439,242,143,92,23,1521,1798
2020-11-21,03:00 PM,3451,35,30404,237,425,698,593,502,446,252,154,98,25,1548,1839
2020-11-22,03:00 PM,3564,36,30783,246,435,725,617,518,455,263,157,100,26,1600,1899
2020-11-23,03:00 PM,3684,39,31050,253,453,753,635,533,472,270,164,110,26,1646,1980
2020-11-24,03:00 PM,3714,40,31172,256,457,757,638,535,475,274,166,110,26,1659,1992
2020-11-25,03:00 PM,3832,40,31487,260,472,785,660,547,488,289,168,112,26,1700,2062
2020-11-26,03:00 PM,3927,40,31996,267,483,796,674,553,499,300,178,119,27,1734,2115
2020-11-27,03:00 PM,3981,40,32205,267,485,808,686,559,509,308,180,120,28,1760,2142
2020-11-28,03:00 PM,4072,41,32592,274,490,835,706,570,517,314,183,125,31,1807,2190
2020-11-29,03:00 PM,4162,43,32922,278,503,862,719,586,525,319,186,127,31,1837,2250
2020-11-30,03:00 PM,4229,45,33401,282,514,871,731,598,535,325,189,128,31,1869,2286
2020-12-01,03:00 PM,4294,46,33675,285,523,886,740,611,543,332,189,128,32,1899,2320
2020-12-02,03:00 PM,4399,48,34062,291,536,905,754,632,552,338,195,135,33,1944,2363
2020-12-03,03:00 PM,4497,51,34257,294,548,925,765,650,571,347,199,136,33,1985,2411
2020-12-04,03:00 PM,4565,51,34415,301,558,937,773,658,579,353,207,137,33,2013,2451
2020-12-05,03:00 PM,4665,53,34628,311,566,968,792,669,590,360,207,137,33,2058,2501
2020-12-06,03:00 PM,4800,53,35052,320,580,996,818,689,607,377,207,138,33,2121,2567
2020-12-07,03:00 PM,4833,53,35557,322,581,999,823,697,613,381,211,138,33,2131,2590
2020-12-08,03:00 PM,4924,53,35815,332,589,1016,839,705,622,393,222,139,33,2166,2644
2020-12-09,03:00 PM,4977,55,35978,337,592,1024,847,713,635,401,224,140,33,2186,2679
2020-12-10,03:00 PM,5031,55,36269,343,596,1034,850,720,646,408,229,141,34,2210,2710
2020-12-11,03:00 PM,5097,55,36350,346,604,1043,862,731,658,414,232,142,33,2240,2742
2020-12-12,03:00 PM,5214,63,36634,356,624,1067,881,750,669,420,233,144,35,2277,2811
2020-12-13,03:00 PM,5395,64,36904,369,642,1104,918,774,690,440,238,145,37,2361,2895
2020-12-14,03:00 PM,5508,68,37402,375,661,1121,941,794,704,451,243,145,38,2417,2952
2020-12-15,03:27 PM,5567,69,37574,382,669,1134,945,806,711,452,245,145,41,2439,2985
2020-12-16,03:00 PM,5690,69,37865,393,682,1160,970,822,727,460,251,148,40,2488,3052
2020-12-17,03:00 PM,5791,70,38102,396,700,1184,988,842,736,467,254,149,40,2532,3110
2020-12-18,03:00 PM,5866,74,38275,401,706,1200,1009,851,743,476,254,151,40,2572,3143
2020-12-19,03:00 PM,5918,73,38663,404,711,1212,1014,862,749,481,256,153,40,2599,3167
2020-12-20,03:00 PM,5964,75,38925,407,716,1223,1019,870,755,485,258,154,40,2615,3192
2020-12-21,03:00 PM,6013,75,39132,410,724,1233,1028,879,761,490,258,154,40,2648,3209
2020-12-22,03:06 PM,6046,75,39309,413,725,1242,1034,883,766,494,260,155,41,2664,3229
2020-12-23,04:05 PM,6206,78,39730,422,745,1272,1060,905,794,508,264,158,41,2718,3322
2020-12-24,03:00 PM,6206,78,39730,422,745,1272,1060,905,794,508,264,158,41,2718,3322
2020-12-25,03:00 PM,6271,79,39966,426,753,1287,1072,912,809,510,266,158,41,2751,3353
2020-12-26,03:00 PM,6305,81,40103,430,763,1293,1074,917,811,515,267,158,41,2764,3373
2020-12-27,03:00 PM,6349,81,40319,435,770,1302,1079,927,814,516,269,159,42,2777,3391
2020-12-28,03:00 PM,6395,82,40594,440,774,1311,1089,932,819,519,272,160,42,2792,3417
2020-12-29,03:00 PM,6440,83,40678,444,782,1316,1096,936,823,524,275,163,42,2808,3443
2020-12-30,03:00 PM,6500,84,40771,446,790,1328,1106,947,829,531,276,164,42,106,120
2020-12-31,03:00 PM,6573,87,40920,449,801,1339,1111,966,841,540,280,165,42,2859,3523
2021-01-01,03:00 PM,6691,89,41156,454,826,1365,1123,987,854,551,281,166,44,2901,3596
2021-01-02,03:00 PM,6751,90,41332,458,830,1379,1143,994,862,554,281,167,44,112,126
2021-01-03,03:00 PM,6799,91,41524,462,841,1386,1149,1002,868,557,282,168,44,2958,3646
2021-01-04,03:00 PM,6857,91,41860,466,850,1397,1160,1013,878,560,285,169,44,2986,3679
2021-01-05,03:00 PM,6929,92,42059,467,857,1412,1177,1023,888,568,286,168,44,3012,3719
2021-01-06,03:00 PM,6987,92,42339,467,866,1421,1192,1028,897,574,289,169,44,3043,3745
2021-01-07,03:00 PM,7042,93,42520,474,874,1432,1205,1038,899,577,290,170,44,3071,3773
2021-01-08,03:00 PM,7089,94,42918,474,877,1441,1213,1047,908,581,293,172,44,3088,3802
2021-01-09,03:00 PM,7144,97,43224,475,882,1454,1227,1054,915,586,293,172,45,3107,3835
2021-01-10,03:00 PM,7230,98,43577,485,895,1469,1236,1063,925,599,299,173,45,3145,3883
2021-01-11,03:00 PM,7297,99,44129,487,906,1479,1249,1077,933,604,304,174,45,3179,3918
2021-01-12,03:00 PM,7316,101,44338,487,906,1480,1253,1080,936,607,306,175,45,3184,3930
2021-01-13,03:00 PM,7335,102,44517,489,907,1483,1255,1082,940,610,307,176,45,3192,3941
2021-01-14,03:00 PM,7350,102,44601,490,908,1484,1258,1085,943,613,307,176,45,3199,3949
2021-01-15,03:00 PM,7399,107,44810,496,914,1492,1264,1094,950,618,307,178,45,3218,3973
2021-01-16,03:00 PM,7455,109,45778,496,921,1506,1273,1103,955,624,310,178,45,3232,4005
2021-01-17,03:00 PM,7483,109,46070,496,926,1511,1278,1107,957,626,312,178,46,3243,4023
2021-01-18,03:00 PM,7513,110,46338,498,929,1515,1285,1112,962,629,313,178,46,3257,4039
2021-01-19,03:00 PM,7533,110,46495,498,930,1518,1290,1115,964,632,314,179,46,3269,4046
2021-01-20,03:00 PM,7541,110,46614,498,932,1518,1292,1115,966,633,314,180,46,3273,4048
2021-01-21,03:00 PM,7553,110,46660,498,933,1518,1295,1116,970,635,314,181,46,3278,4053
2021-01-22,03:00 PM,7586,111,46877,501,936,1528,1297,1120,973,638,315,184,46,3285,4070
2021-01-23,03:00 PM,7607,111,46955,501,940,1531,1301,1127,976,639,315,185,46,3297,4077
2021-01-24,03:00 PM,7637,112,47413,507,945,1536,1305,1128,978,642,317,186,46,3306,4094
2021-01-25,03:00 PM,7648,112,47669,507,948,1537,1306,1130,978,643,319,188,46,3309,4103
2021-01-26,03:00 PM,7674,113,48137,508,951,1540,1309,1136,981,646,320,191,46,3323,4115
2021-01-27,03:00 PM,7688,113,48294,510,952,1543,1311,1140,982,646,320,191,47,3327,4125
2021-01-28,03:00 PM,7718,116,48382,511,956,1550,1319,1144,983,649,322,192,47,3344,4138
2021-01-29,03:00 PM,7729,118,48546,512,958,1554,1320,1144,983,652,322,192,47,3350,4144
2021-01-30,03:00 PM,7755,118,48937,514,960,1562,1322,1146,986,656,324,193,47,3358,4160
2021-01-31,03:00 PM,7773,119,49479,515,962,1567,1322,1148,986,658,327,194,48,3368,4161
2021-02-01,03:00 PM,7798,119,49836,516,965,1573,1327,1153,988,659,329,194,48,3381,4173
2021-02-02,03:00 PM,7809,120,50120,516,966,1576,1330,1155,989,660,329,194,48,3387,4178
2021-02-04,03:00 PM,7865,122,50558,521,980,1589,1338,1159,991,663,334,196,48,3419,4202
2021-02-05,03:00 PM,7879,123,50656,522,981,1592,1341,1163,993,663,334,196,48,3426,4207
2021-02-06,03:00 PM,7893,126,51132,522,982,1595,1343,1167,996,664,334,196,48,3436,4211
2021-02-07,03:00 PM,7898,126,51486,523,982,1596,1347,1167,996,664,334,196,48,3438,4215
2021-02-08,03:00 PM,7913,128,51825,527,983,1598,1350,1171,996,665,334,196,48,3443,4225
2021-02-09,03:00 PM,7916,128,52001,527,984,1598,1351,1171,996,666,335,196,48,3445,4227
2021-02-10,03:00 PM,7918,128,52169,527,984,1599,1351,1172,996,666,335,196,48,3447,4227
2021-02-11,03:00 PM,7930,131,52227,530,986,1600,1352,1175,996,667,336,196,48,3451,4234
2021-02-12,03:00 PM,7938,131,52671,532,986,1602,1352,1175,996,669,338,196,48,3455,4238
2021-02-13,03:00 PM,7943,132,53005,532,986,1603,1353,1175,997,670,338,196,48,3456,4241
2021-02-14,03:00 PM,7949,133,53144,533,987,1604,1353,1175,999,670,338,196,48,3458,4243
2021-02-16,03:00 PM,7954,134,53394,533,988,1606,1353,1175,1000,670,338,197,49,3462,4245
2021-02-17,03:00 PM,7964,136,53593,534,989,1607,1354,1177,1002,672,338,198,49,3464,4254
2021-02-18,03:00 PM,7967,137,53,534,989,1607,1355,1178,1003,672,338,198,49,3465,4256
2021-02-19,03:00 PM,7972,137,53905,534,989,1608,1356,1178,1004,673,338,199,49,3469,4257
2021-02-20,03:00 PM,7982,140,54281,535,992,1609,1358,1179,1005,673,338,200,49,3474,4262
2021-02-21,03:00 PM,7982,140,54281,535,992,1609,1358,1179,1005,673,338,200,49,3474,4262
